imdbID,Title,Year,Genre,Director,Writer,Plot,Actors,Language,Country,Awards,IMDB rating,No_of_Rating
14,Seeru,2020,"Action, Drama","Rathina Shiva, Sami Rajalingam(co-director)",Rathina Shiva,A guy from a small-town takes on a ruthless criminal lawyer for his friend and sister(s).,"Jiiva, Navdeep, Riya Suman, Varun",Tamil,India,N/A,5.4,25
15,God Father,2020,"Action, Drama, Thriller",Jegan Rajshekar,Jegan Rajshekar,Dangerous Gangster Marudhu singam(Lal) comes to hunt down a whole family. Adhiyaman (Natty )and his wife Mithra (Ananya) and their son Arjun (Ashwanth) fights back to save their life.Nail biting intense action Drama .,"Ananya, Ashwanth Ashokkumar, Lal, Marimuthu",Tamil,India,N/A,6.8,9
16,Gypsy,2020,Drama,Raju Murugan,Raju Murugan,A young man travels across India and learns about nation-wide politics. He then decides to do something about it.,"Jiiva, Natasha Singh, Lal Jose, Sunny Wayne",Tamil,India,N/A,7.7,65
17,Walter,2020,Thriller,Anbarasan,Anbarasan,"A cop, who sets out to solve the mysterious death of infants in Kumbakonam, realises that a few bigwigs are behind the crime.","Yogi Babu, Sanam Shetty, Sibiraj",Tamil,India,N/A,5.9,11
18,Dharala Prabhu,2020,Comedy,Krishna Marimuthu,N/A,"When Prabhu is approached by a doctor from a fertility clinic, he agrees to donate his sperm to make some money. While his sperm is highly successful, his own life gets twisted around because of it.","Tanya Hope, Harish Kalyan",Tamil,India,N/A,7.9,9
19,Kalavani 2,2019,"Comedy, Drama, Romance",A. Sarkunam,A. Sarkunam,An irresponsible guy locks horns with one of his relatives in a election.,"Vimal, Oviya, Saranya Ponvannan, Ilavarasu",Tamil,India,N/A,5.2,9
20,Raatchasi,2019,Drama,Sy Gowthamraj,Bharathi Thambi,"Story of a rural Government school headmistress, who saves the school from its decline and reforms the same by handling the hindrances from private school owners, Govt. officials, politicians and even her colleagues.","Jyotika, Hareesh Peradi, Poornima Jayaram, Sathyan",Tamil,India,N/A,7.3,626
21,Bodhai Yeri Budhi Maari,2019,"Drama, Thriller",Chandru,N/A,N/A,Pradaini Surva,Tamil,India,N/A,6.7,40
22,Gorilla,2019,Comedy,Don Sandy,"Don Sandy (dialogue), Don Sandy (screenplay), Don Sandy (story)",Three friends who need money to better their lives and a disillusioned farmer hatch a plan to rob a bank with a chimp as an accomplice.,"Jiiva, Shalini Pandey, Radha Ravi, Sathish",Tamil,India,N/A,4.6,150
23,Gurkha,2019,"Action, Comedy",Sam Anton,Sam Anton,"The security guard of a mall, who belongs to the Gurkha community, becomes the saviour of several people who have been kept under siege by some terrorists.","Yogi Babu, Charlie, Elyssa Erhardt, Anandraj",Tamil,India,N/A,4.7,161
24,Thozhar Venkatesan,2019,Drama,Mahashivan,Mahashivan,"The life of a youngster, who runs a small-scale soda factory, turns topsy-turvy after he meets with a horrific accident. Little does he realise that more troubles are awaiting him.","K. Hari Shankar, Monica Chinnakotla",Tamil,India,N/A,6.8,24
25,Vennila Kabaddi Kuzhu 2,2019,"Action, Drama",Selva Sekaran,"Selva Sekaran, Suseenthiran (story)","The son of a disgraced kabaddi player realises his father's dream of helping his team, Vennila Kabadi Kuzhu, win the title in a kabaddi tournament.","Appukutty, Arthana Binu, Kishore Kumar G., 'Ganja' Karuppu",Tamil,India,N/A,5.5,44
26,Kadaram Kondan,2019,"Action, Thriller",Rajesh M. Selva,Rajesh M. Selva,"Vasu, a young medico, after rescuing one of his patients from a murder attempt finds out that his pregnant wife is abducted, and the kidnappers demand the patient he saved in exchange for her safety.","Vikram, Akshara Haasan, Abi Hassan, Lena","Tamil, Telugu",India,N/A,5.7,"1,207"
27,A1: Accused No. 1,2019,"Comedy, Drama",K. Johnson,K. Johnson,"The life of a casteist girl, who wants to get married to a goon, becomes a roller-coaster ride after she realises that she's with the wrong person.","Santhanam, Tara-Alisha Berry, Motta Rajendran, Yatin Karyekar",Tamil,India,N/A,5.7,111
28,Chennai Palani Mars,2019,"Adventure, Comedy, Drama, Fantasy",Biju Viswanath,"Vijay Sethupathi, Biju Viswanath","An aspiring scientist and a musician, both peculiar by nature, set out on an ambitious trip to Mars.","Praveen Raja, Rajesh Giriprasad, Vasant Marimuthu, A. Ravikumar",Tamil,India,N/A,7.2,9
29,Jackpot,2019,"Action, Comedy",Kalyaan,Kalyaan,Two smart con-women and a bunch of quirky gangsters are pitted against each other while in pursuit of a mythical vessel fabled for its powers.,"Samuthirakani, Anandraj, Motta Rajendran, Yogi Babu",Tamil,India,N/A,5.4,27
30,Kazhugu 2,2019,"Comedy, Crime",Sathyasiva,Sathyasiva,"On their arrival in Kodaikanal, a pair of petty thieves from Theni are mistaken for wolf-hunters by the locals. They decide to make the best out of this misunderstanding, leading to some unexpected consequences.","Kreshna, Bindhu Madhavi, Kaali Venkat, Crane Manohar",Tamil,India,N/A,5.6,5
31,Thorati,2019,Romance,P. Marimuthu,N/A,"A care-free shepherd, who befriends three thieves without knowing their past, lands in trouble post his marriage .","C.V. Kumar, Sathyakala",Tamil,India,N/A,7.6,43
32,Nerkonda Paarvai,2019,"Action, Drama, Thriller",H. Vinoth,H. Vinoth,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.","Ajith Kumar, Vidya Balan, Rangaraj Pandey, Shraddha Srinath",Tamil,India,N/A,8.5,"4,192"
33,Kolaiyuthir Kaalam,2019,"Drama, Thriller",Chakri Toleti,"Sara Bodinar (additional screenplay), Adam Hiebeler, Carl Lauricella, Chakri Toleti (story)","A remake of an English movie Hush (2016), where a deaf and mute girl must fight for her life when a killer appears at her door.","Nayanthara, Lee Nicholas Harris, Lee Byford, Richard Banks",Tamil,India,N/A,2.6,182
34,Comali,2019,Comedy,Pradeep Ranganathan,Pradeep Ranganathan,A youngster in his mid-30s goes through a series of struggles after coming to terms with the fact that he was in coma for 16 years.,"Jayam Ravi, Kajal Aggarwal, Yogi Babu, K.S. Ravikumar",Tamil,India,N/A,7.2,850
35,Kennedy Club,2019,"Drama, Sport",Suseenthiran,Suseenthiran,A kabaddi team faces several struggles while competing in a national-level championship.,"M. Sasikumar, Bharathiraja, Meenakshi Govindarajan, Soori",Tamil,India,N/A,7.3,25
36,Bakrid,2019,Drama,Jagadeesan Subu,Jagadeesan Subu,"A man develops friendship with a camel, and has to embark on a journey with the animal.","Vikranth, Vasundhara Kashyap, Rohit Pathak, Sarah",Tamil,India,N/A,7.6,110
37,Mei,2019,Action,Bhaskar,N/A,The missing case of a young girl unfolds several hidden crimes related to a medical racket as investigation progresses.,"Charle, Ajay Ghosh, Iswaria Rajesh",Tamil,India,N/A,7,57
38,Saaho,2019,"Action, Thriller",Sujeeth,"Sujeeth (screenplay), Sujeeth (telugu dialogue), K.G.R Ashok (tamil dialogue), Abbas Dalal (hindi dialogue), Hussain Dalal (hindi dialogue)","An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box,"" their ultimate key to a treasure.","Prabhas, Shraddha Kapoor, Jackie Shroff, Neil Nitin Mukesh","Telugu, Tamil, Hindi, Malayalam, English, Japanese, Spanish, French, Punjabi",India,2 wins.,5.2,"14,004"
39,Sixer,2019,Comedy,Chachi,Chachi,"A site engineer, who suffers from night blindness, gets into trouble when he is mistaken for the leader of a protest group by a goon. His life becomes even more complicated after he falls in love.","Vaibhav Reddy, Palak Lalwani, Sathish, Radha Ravi",Tamil,India,N/A,6.4,99
40,Magamuni,2019,"Crime, Drama, Thriller","Santha Kumar, Santha Kumar","Santha Kumar, Santha Kumar",Two long-separated brothers end up in life-threatening situations. How do their lives intersect and what happens next?,"Arya, Mahima Nambiar, Indhuja Ravichandran, Ilavarasu",Tamil,India,N/A,8,"1,166"
41,Sivappu Manjal Pachai,2019,"Action, Thriller",Sasi,Sasi,A street racer and a traffic cop end up becoming brothers-in-law. Can they accept each other given their previous hostile history?,"Siddharth, G.V. Prakash Kumar, Lijo Mol Jose, Kashmira Pardesi",Tamil,India,N/A,7.1,895
42,Zombie,2019,"Comedy, Horror",Bhuvan Nullan R.,Bhuvan Nullan R.,"Trapped in a resort which suffers a zombie outbreak, a group of individuals have to figure out how to escape the resort alive.","Yaashika Aanand, Yogi Babu, Manobala, Bijili Ramesh",Tamil,India,N/A,3.6,66
43,Kaappaan,2019,"Action, Thriller",K.V. Anand,"K.V. Anand, Pattukottai Prabhakar, Kabilan Vairamuthu","A Special Protection Group officer has to identify the threat to the prime minister, who he is protecting, and also the nation.","Suriya, Mohanlal, Manoj Anand, Chris Wilson",Tamil,India,N/A,6.5,"3,183"
44,Oththa Seruppu Size 7,2019,Drama,Parthiban,Parthiban,An emotionally unstable murder suspect explains the modus operandi behind the crimes he had committed to a few cops which helps in unfolding some intriguing revelation.,Parthiban,Tamil,India,N/A,9.4,322
45,Super Duper,2019,"Comedy, Thriller",A.K.,N/A,"Two petty criminals end up kidnapping the wrong woman, and end up in a situation where they have to deal with a kingpin of a drug mafia.","Dhruva, Sha Ra, Indhuja Ravichandran","Tamil, Telugu",India,N/A,6.4,45
46,Namma Veettu Pillai,2019,"Action, Comedy, Drama",Pandiraj,"Pandiraj (Dialogue), Pandiraj (Screenplay), Pandiraj (Story)",A brother who dotes on his sister is forced into a situation where he has to get her married to a ruffian with whom he is at loggerheads. Can their relationship survive?,"Sivakarthikeyan, Bharathiraja, Soori, Aishwarya Rajesh",Tamil,India,N/A,6.1,761
47,Thittam Poattu Thirudura Kootam,2019,"Action, Comedy, Crime",Sudhar,Sudhar,A group of people come up with an impossible plan to steal the 2011 World Cup that India had won against Sri Lanka.,"Chaams, Chandran, Parthiban, Daniel Annie Pope",Tamil,India,N/A,5,36
48,100% Kadhal,2019,"Comedy, Drama, Romance",M.M. Chandramouli,Sukumar (story),"The guy and his cousin fall for each other but separate due to ego clashes. Years later, when their grandmother falls ill, they are forced to confront each other.","G.V. Prakash Kumar, Shalini Pandey, Nassar, Thambi Ramaiah",Tamil,India,N/A,4.9,43
49,Asuran,2019,"Action, Drama",Vetrimaaran,"M.S. Manimaran (screenplay), Poomani (based on the novel), Suka (dialogue), Vetrimaaran (dialogue), Vetrimaaran (screenplay)","The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.","Dhanush, Manju Warrier, Prakash Raj, Pasupathy",Tamil,India,3 wins.,8.6,"5,861"
50,Aruvam,2019,"Comedy, Horror",Sai Sekhar,N/A,"A woman who doesn't like harming even an ant is possessed with the ghost of the man who loves her, which wants to take revenge on the corrupt men who murdered him.","Siddharth, Catherine Tresa, Kabir Duhan Singh, Sathish",Tamil,India,N/A,4.4,146
51,Petromax,2019,"Comedy, Horror",Rohin Venkatesan,"Mahi v Raghav (story), G.R. Surendarnath",A man struggles to sell his house that is haunted so he arranges four people to live in the house for a few days to prove that there are no ghosts.,"Tamannaah Bhatia, Prem Kumar, Munishkanth, Yogi Babu",Tamil,India,N/A,5.6,184
52,Puppy,2019,Drama,Nattu Dev,N/A,A final year college student gets the shock of his life after knowing that he's gonna become a father as his girlfriend shows positive pregnancy test result. How is he going to face his parents?,"Yogi Babu, Samyuktha Hegde, Varun",Tamil,India,N/A,5.8,37
53,Kaaviyyan,2019,Thriller,Sarathy,Parthasarathy,"While in the US for training, Tamil Nadu cop Ahkilan bumps into his ex and together they track down a serial killer who has kidnapped an Indian girl.","L. Srinath, Athmeeya Rajan, Shaam, Sridevi",Tamil,India,N/A,5.8,119
54,Bigil,2019,"Action, Drama, Sport",Atlee Kumar,"Atlee Kumar (Dialogue), Atlee Kumar (Story), Atlee Kumar (screenplay), Ramanagirivasan (Dialogue)",A former football player struggles to fulfill the dream of his father and seek revenge for the death of his father.,"Joseph Vijay, Nayanthara, Jackie Shroff, Vivek","Tamil, Telugu",India,1 win.,7,"8,371"
55,Kaithi,2019,"Action, Thriller",Lokesh Kanagaraj,Lokesh Kanagaraj,A recently released prisoner becomes involved in a chase with criminals as he races against time to drive poisoned cops to hospital in exchange for meeting his daughter.,"Karthi, Narain, Ramana, George Maryan","Tamil, Telugu",India,2 wins.,8.6,"6,475"
56,Miga Miga Avasaram,2019,N/A,Suresh Kamatchi,"Jagan, Suresh Kamatchi",A female cop has a tough time trying to strike a balance between answering nature's call and her duty.,"Sri Priyanka, Seeman",Tamil,India,N/A,7.2,102
57,Thavam,2019,Drama,R. Vijay Anand,N/A,"Thavam is a 2019 film co-directed by R Vijay Anand and AR Sooriyan. The film stars newcomers Vasi Ashif, Pooja Shree, and Seeman in the lead roles.Three friends are brought together after ...","Santhana Bharathi, Bose Venkat",Tamil,India,N/A,4.5,6
58,Action,2019,Action,Sundar C.,"Sundar C., Venkat Raghavan, Subha","An agent, sent by the Indian army to observe a terrorist, finds his mission turn complicated when he discovers undercover agents in his own country.","Vishal, Tamannaah Bhatia, Aishwarya Lekshmi, Ramki",Tamil,India,N/A,4.3,149
59,Sangathamizhan,2019,Action,Vijay Chandar,Vijay Chandar,"Once a young man named Tamil learns that a businessman is planning to build a factory in his village, he tries to stop the plan for fear of pollution.","Vijay Sethupathi, Raashi Khanna, Nivetha Pethuraj, Ananya",Tamil,India,N/A,3.2,125
60,Adithya Varma,2019,"Drama, Romance",Gireesaaya,"Thiagarajan Kumararaja (additional tamil dialogue), Nalan Kumarasamy (additional tamil dialogue), Raju Murugan (tamil dialogue), Srinivasan (additional tamil dialogue), Sandeep Reddy Vanga (original story)",A brilliant and short-tempered young surgeon goes down a self-destructive path when the love of his life is forced to marry another man.,"Dhruv Vikram, Banita Sandhu, Priya Anand, Anbu Thasan",Tamil,India,1 win.,6.4,538
61,KD,2019,Drama,Madhumita Sundararaman,Madhumita Sundararaman,"KD, an 80 year old villager overhears his children say that they want him dead to claim their inheritance. Realising he has never truly lived, he enlists the help of a young orphan boy ...","Yog Japee, Nagavishal, Mu Ramaswamy",Tamil,India,N/A,9,128
62,Adutha Saattai,2019,Drama,M. Anbazhagan,M. Anbazhagan,A college professor tries to unite his students who lack proper guidance from parents and teachers.,"Samuthirakani, Athulya Ravi, Thambi Ramaiah, Rajshri Ponnappa",Tamil,India,N/A,6.8,45
63,Azhiyatha Kolangal 2,2019,Drama,M.R. Bharathi,M.R. Bharathi,The lives of a popular writer and his ex-lover get affected when they meet after several years.,"Archana, Nassar, Prakash Raj, Mohan Raman",Tamil,India,N/A,8.4,7
64,Enai Noki Paayum Thota,2019,"Action, Drama, Romance, Thriller",Gautham Vasudev Menon,Gautham Vasudev Menon,"Raghu, a normal college guy gets dragged into trouble when he falls in love with Lekha and their whirlwind romance changes the course of his life.","Dhanush, Megha Akash, M. Sasikumar, Senthil Veeraasamy",Tamil,India,N/A,5.8,"1,018"
65,Market Raja MBBS,2019,Action,Saran,Saran,An arrogant don is possessed by the ghost of a medical college student and turns meek. Now his accomplices expect the return of the actual don.,"Arav, Kavya Thapar, Nikesha Patel, Nassar",Tamil,India,N/A,3.9,14
66,Iruttu,2019,"Drama, Horror, Mystery",Durai,Durai,A cop who takes charge at a police station in a hill station goes after the reasons behind a few unnatural deaths which seem mysterious like never before.,"Sundar C., Dhansika, Sakshi Chaudhary, Vimala Raman",Tamil,India,N/A,7.7,38
67,Jada,2019,"Drama, Sport",Kumaran,N/A,A team of passionate football players goes through some unexpected hurdles while participating in a local tournament in a village.,"Kathir, Roshini, Yogi Babu, Kishore Kumar G.",Tamil,India,N/A,6.1,97
68,Capmaari,2019,"Comedy, Drama, Romance",S.A. Chandrashekhar,N/A,Vijay (Jai) an IT professional happens to share an coach with Jenny (Vaibhavi Shandilya) and the duo strike a conversation and soon are sharing beers and the bed too. After two years they ...,"Jai, Athulya Ravi, Vaibhavi Shandilya",Tamil,India,N/A,4.7,15
69,Chennai 2 Bangkok,2019,Drama,N/A,N/A,N/A,"Jai Akash, Sony Charishta",Tamil,India,N/A,2.3,6
70,Kaalidas,2019,"Action, Crime",Sri Senthil,N/A,"A cop, who suffers from family issues, takes up a peculiar suicide case. The plot thickens as similar cases get reported within a span of a few days.","Bharath Srinivasan, Ann Sheetal, Suresh Chandra Menon, Aadhav Kannadasan",Tamil,India,N/A,7.7,172
71,Karuthukalai Pathivu Sei,2019,Drama,Rahul Paramahamsa,N/A,N/A,"S.S.R. Aryan, Upasana Rc",Tamil,India,N/A,5.5,8
72,Marina Puratchi,2019,Drama,M.S. Raj,N/A,Two aspiring reporters learn about the history and significance of jallikattu protest to secure a job in a private channel. The film begins with Sukanya (Shruti Reddy) and Parthasarathy (...,"Naveen Kumar, Shruti Reddy",Tamil,India,N/A,6.8,10
73,Hero,2019,"Action, Drama, Thriller",P.S. Mithran,"P.S. Mithran (Dialogue), P.S. Mithran (Screenplay), P.S. Mithran (Story)",A fraudster gets to fulfill his childhood dream of being a superhero when he takes on a ruthless businessman whose business strategy is to crush the dreams of children.,"Sivakarthikeyan, Abhay Deol, Arjun Sarja, Kalyani Priyadarshan",Tamil,India,N/A,6.5,988
74,Thambi,2019,"Action, Thriller",Jeethu Joseph,"Sameer Arora (screenplay), Renzil D'Silva (screenplay), Jeethu Joseph (screenplay), Manikandan",A brother and sister get caught up in a fast-paced and intriguing plot.,"Jyotika, Sathyaraj, Karthi, Showkar Janaki",Tamil,India,N/A,6.9,905
75,Pancharaaksharam,2019,Thriller,Balaji Vairamuthu,N/A,Five friends playfully read passages of doom from a book that can predict an individual's future. Can they overcome the tragedies that fate has in store for them and rewrite their destinies?,"Sana Altaf, Madhu Shalini, Gokul Anand, Ashwin Jerome",Tamil,India,N/A,6.7,19
76,V1 Murder Case,2019,Drama,Pavel Navageethan,N/A,"An intelligent forensic officer starts investigating a murder, but he faces a slew of challenges as he suffers from nyctophobia. Will he be able to solve the case?","Ram Arun Castro, Mime Gopi, Lijeesh, Vishnupriya Pillai",Tamil,India,N/A,6.7,116
77,Maanik,2019,"Drama, Fantasy, Romance",Martyn,"Martyn (screenplay), Martyn (story)","A confused youngster, who falls in love with many girls, struggles hard to change his ill fate.","Ma ka Pa Anand, Yogi Babu, Suza Kumar, Manobala",Tamil,India,N/A,4.3,6
78,Petta,2019,"Action, Drama",Karthik Subbaraj,Karthik Subbaraj,"Though he works as a hostel warden, there is more to Kaali than meets the eye. Things take an interesting turn when Kaali's path crosses with a group of dreaded gangsters.","Rajinikanth, Vijay Sethupathi, Nawazuddin Siddiqui, M. Sasikumar",Tamil,India,N/A,7.3,"7,069"
79,Viswasam,2019,"Action, Drama",Siva,"Siva (story and screenplay), Adi Naarayana (story and screenplay), Manikandan (dialogue), Bakyaraj (dialogue), Sabari (dialogue), Chandran (dialogue)","A village ruffian, who settles disputes in his native, takes on a big shot when he tries to sort out the rough patch in his marriage after several years.","Ajith Kumar, Nayanthara, Sakshi Agarwal, Darbha Appaji Ambarisha","Tamil, Kannada",India,N/A,6.7,"5,646"
80,Charlie Chaplin 2,2019,Comedy,Sakthi Chidambaram,Sakthi Chidambaram,A marriage is in the verge of trouble as the groom sends an abusive message to the bride under the influence of alcohol. Will he able to save the wedding?,"Prabhu Deva, Prabhu, Nikki Galrani, Adah Sharma",Tamil,India,N/A,3.7,189
81,Kuthoosi,2019,N/A,Siva Sakthi,N/A,N/A,"Amala, Yogi Babu, Dileepan",Tamil,India,N/A,5.2,29
82,Sagaa,2019,"Crime, Drama",Murugesh,Murugesh,"Sathya, Siva, Kathir, Jacky and Ganga have lived a life of crime and are imprisoned. The plot revolves around revenge, friendship and love.","Kishore, Pandi, Prithivirajan, Saran",Tamil,India,N/A,6.9,40
83,Vantha Rajavathaan Varuven,2019,"Action, Comedy, Drama",Sundar C.,"Sundar C. (screenplay), Trivikram Srinivas (story)",The young heir of a rich family sets out to effect a reconciliation between estranged family members.,"T.R. Silambarasan, Megha Akash, Catherine Tresa, Prabhu",Tamil,India,N/A,3.9,408
84,Dhilluku Dhuddu 2,2019,"Comedy, Horror",Rambala,Rambala,"Due to the black magic protecting Maya, anyone who falls in love with her ends up mysteriously killed, so Vijay tries to get rid of the magic.","Santhanam, Shritha Sivadas, Rajendran, Bipin",Tamil,India,N/A,5.4,414
85,Nethraa,2019,"Drama, Thriller",A. Venkatesh,N/A,"A young woman moves to Canada with her boyfriend to get married with the help of her friend, but finds herself trapped in a web of lies and deceit.","Imman Annachi, Vinay Rai, Robo Shankar, Subiksha",Tamil,India,N/A,3.8,8
86,Kalavu,2019,Thriller,Murali Karthick,Murali Karthick,"Kalavu is a slick, gripping crime thriller drama set in the outskirts of Chennai. A group of three friends are embroiled in a chain snatching crime that they haven't committed. After a ...","Vatsan Chakravarthy, Chinnijayanth, Kalaiyarasan, Karunakaran",Tamil,India,N/A,7.4,30
87,Chithiram Pesuthadi 2,2019,N/A,Rajan Madhav,N/A,"Chithiram Pesuthadi 2 is a movie that depicts the multifaceted nature of any city, here predominantly Chennai. Also, it beautifully brings out the fact that good wins over the evil. Every ...","Nivas Adithan, Ajmal Ameer, Radhika Apte, Priya Banerjee",Tamil,India,N/A,5.5,23
88,Goko Mako,2019,"Adventure, Comedy, Drama, Music, Musical, Romance","Arunkanth, Arunkanth Venugopal","Arunkanth, Arunkanth Venugopal (story), Arunkanth Venugopal",An Independent Feature Film shot entirely on GoPro exclusively for people who love craziness.,"Arunkanth, Santhana Bharathi, Chaams, Dhanusha Dhanraj",Tamil,India,N/A,5.2,6
89,LKG,2019,N/A,Prabhu,RJ Balaji,A small-time politician aspires to become the leader of the state. Does he succeed?,"RJ Balaji, Priya Anand, J.K. Rithesh, Ramkumar Ganesan",Tamil,India,N/A,7.5,328
90,Dha Dha 87,2019,"Action, Drama",Vijay Srig,N/A,"A happy-go-lucky guy, who falls in love in his locality, gets the shock of his life when she reveals her real identity to him.","Charu Haasan, Janagaraj, Bala Singh",Tamil,India,N/A,4.1,30
91,Thadam,2019,"Action, Crime, Thriller",Magizh Thirumeni,"Magizh Thirumeni (dialogue), Magizh Thirumeni (screenplay), Magizh Thirumeni (story)",The murder of a youngster creates confusion among a few cops when they find out that the one accused in the crime has a look-alike.,"Arun Vijay, Tanya Hope, Smruthi Venkat, Fefsi Vijayan",Tamil,India,N/A,8.2,"2,631"
92,Thirumanam,2019,Drama,Cheran,Cheran,"Very much concerned about his family's financial status, Arivudainambi is unhappy with the way his sister's wedding to a wealthy man is being done.","Cheran, Sukanya",Tamil,India,N/A,6.7,86
93,Pottu,2019,Horror,V.C. Vadivudaiyan,V.C. Vadivudaiyan,A medical college student get possessed by a ghost that wants to take revenge on the college's dean.,"Iniya, Namitha, Srushti Dange, Manisha Yadav",Tamil,India,N/A,3.8,47
94,Sathru,2019,Thriller,Naveen Nanjundan,N/A,"A kidnapping gone wrong leads to mounting tension between Prabha, the kidnapper, and Kathir, the policeman assigned to the case.","Srushti Dange, Kathir, Laguparan, Marimuthu",N/A,India,N/A,6.1,150
95,Aghavan,2019,Family,Ezhumalai,Ezhumalai,A group of criminals hatch a plan to loot the wealth of a huge temple for their selfish needs.,"Chirashree Anchan, Chinni Jayanth, Kishore, R.N.R. Manohar",Tamil,India,N/A,6.6,19
96,Ispade Rajavum Idhaya Raniyum,2019,"Drama, Romance",Ranjit Jeyakodi,Ranjit Jeyakodi,The relationship between a guy and a girl becomes complicated when the latter gets tired of the former's impatient behaviour.,"Harish Kalyan, Shilpa Manjunath, Makapa Anand, Bala Saravanan",Tamil,India,N/A,6.2,121
97,July Kaatril,2019,Romance,K.C. Sundaram,K.C. Sundaram,A happy-go-lucky youngster's approach towards romance changes after he becomes close with three women in different phases of his life.,"Ananth Nag, Anju Kurian, Samyuktha Menon, Sathish",Tamil,India,N/A,7.7,6
98,Nedunalvaadai,2019,N/A,Selvakannan,Selvakannan,"An unemployed youngster is at the crossroads, puzzled about choosing between family and love.","Elvis Alexander, Mime Gopi, Aindhu Kovilan, Anjali Nair",Tamil,India,N/A,8.8,26
